owner_mid,owner_name,owner_face,owner_sign,owner_gender,owner_level,owner_verified,owner_verified_title,owner_vip_type,owner_follower_count,owner_following_count,owner_video_count
38928341,科技修道院,https://i2.hdslb.com/bfs/face/44fd1a13ae671d657dbbb138d152bfa111cb91f3.jpg,珍爱生命，走近科学,保密,3,False,,1,1897,9,37
523010995,团豆包_,https://i1.hdslb.com/bfs/face/471a4099ed782d621d0c4f20453f8c2aed87bcc9.jpg,,保密,6,False,,0,2979,63,4
349950942,偷星九月333,https://i0.hdslb.com/bfs/face/9c668732599d1e6478622b844644b657ae958688.jpg,两耳不闻窗外事，一心只搞大模型,保密,6,False,,0,48035,14,107
1731330412,AI-Ghost-Lab,https://i1.hdslb.com/bfs/face/883aeddcb35ffa40ab52dad22b57b615c535b6b0.jpg,用 AI 重构一个人的工作流与工程能力。,保密,5,False,,0,13019,28,55
675505667,东川路第一可爱猫猫虫,https://i2.hdslb.com/bfs/face/e290cf9481d7f252de442a93eae5c8eb169795d6.jpg,每天都想学会一点点新知识,男,6,False,,1,15457,27,34
3494350948403912,Python_七点半1mo,https://i2.hdslb.com/bfs/face/5a8d599041a5d8c7c9cacdd862fb0ab6b6a1c799.jpg,本人丰富，无法简介！,保密,6,False,,0,32748,35,86
499590949,科林_KELIN,https://i1.hdslb.com/bfs/face/650cd0bcdf7b397fe584b963ab60689ce8a31f9b.jpg,,保密,5,False,,0,302,290,1
302188068,小白debug,https://i0.hdslb.com/bfs/face/ab6cf5698ed3db1997f84d515d39250ae56b450c.jpg,AI极客·科技美学家 | 前字节 | 大厂AI算法工程 | 畅销书《趣味网络图解》作者 专注科技美学·硬核技术科普商务vx: Rserlin,保密,6,True,bilibili 知名科技UP主,0,285267,293,71
3537122898217458,Windows11的5090显卡,https://i0.hdslb.com/bfs/face/10740a33ff4177fcf2fa3720c2ce5f2662edc7e0.jpg,哈喽！这里是杂食性UP主，计算机+游戏，目标是13万粉丝哦！感谢关注，欢迎多多指教～邮箱：win115090xk@163.com,保密,4,False,,1,1316,1470,277
1163175166,i李深情,https://i1.hdslb.com/bfs/face/4067954c10362c2509ca2a9cee501438a25ada8a.jpg,电脑精调/竞技系统/品牌合作 服务号：深科电竞,男,5,False,,1,3957,4,57
252136008,vite从入门到精通,https://i0.hdslb.com/bfs/face/54f02a9262edd959ab16e878b411b896f748126e.jpg,感谢你的关注，web5189  get仔料,男,4,False,,0,654,68,66
3546574479166326,喜爱雨姐酸脚汁,https://i0.hdslb.com/bfs/face/3335e8b1b76214fce567f3892a7f3cdff49ebdc4.jpg,哪个男人不想为雨姐诞下一子,保密,2,False,,0,3,0,1
1445832635,启明说攻防,https://i2.hdslb.com/bfs/face/8dc0394fbda208229d9432321b59cf8d1f206d3b.jpg,海底立方体横向菠萝?移动工程师,男,5,False,,0,26968,248,111
3546769667394212,show-me-the-code,https://i2.hdslb.com/bfs/face/0edc4461bc9137d7b9308a946b1731e3a53de01f.jpg,,保密,4,False,,0,4274,6,453
46470268,央视军事,https://i1.hdslb.com/bfs/face/9dcc59c2e51aa7b9f178463903cbd4daab351dd2.jpg,中央广播电视总台国防军事频道官方账号,保密,6,True,央视军事官方账号,0,2991174,59,3457
344782029,机械王国Constructor,https://i0.hdslb.com/bfs/face/91bc9d26ee38d57d28facff8e0e9ccbfbc2575d3.jpg,机械王国的狂欢盛宴！在我的B站频道，每天都有全球工程机械和美食资讯！,男,6,False,,0,7240,3078,13244
415327053,YouTube武器鉴赏,https://i0.hdslb.com/bfs/face/77c27ab8bd549818889d0f9de216cfcd0400c554.jpg,国外靶场合法拍摄 军事科普无不良引导！,保密,6,False,,0,440513,28,948
3546822234606184,红星兔惺惺相惜,https://i1.hdslb.com/bfs/face/29f6477e944c5dfd5785fda70aad9249237939f5.jpg,如果我没有更新，请务必叫我去更新。,保密,6,False,,2,32178,143,58
673810839,杨叔洞察,https://i0.hdslb.com/bfs/face/3f5223e5dea10ed316e10b24ad8d60d8331a4638.jpg,23年军旅生涯，曾经的军校教员，如今的新媒体战士。商务合作请联系VX：wyz14689（备注品牌）,男,6,True,bilibili 知名科普UP主,1,901919,251,594
1437101448,JaegerZ999官方账号,https://i0.hdslb.com/bfs/face/ce5444fe38aca6e841df3f7ab3a8c90fc4e5713c.jpg,北美YouTuber；轻武器爱好者；不接受任何以“合作”或“授权”为借口的盗视频,保密,6,True,JaegerZ999官方账号,2,1248841,8,173
95236989,犀牛坐上潜水艇,https://i0.hdslb.com/bfs/face/9e5860bccb0cb044ca05b5475b8a91eed84e4802.jpg,愿世界和平,保密,6,False,,1,14795,969,1146
1444017402,宸星之,https://i0.hdslb.com/bfs/face/29a36a4fdb91d425b8afce10374ec2dc849218b2.jpg,既然都是投影何不换个角度,保密,3,False,,0,1983,116,765
1985127693,城阳电工电路,https://i0.hdslb.com/bfs/face/faae5daababbf652d97faedab1a25d78b654fc44.jpg," 一线电工，从业十六年，
维修安装工厂家庭各种电路，分享用电知识，各种电路维修实例视频。
   青岛地区电路问题可以电话联系我。",男,6,True,bilibili 知名UP主,2,2165599,129,1084
476136596,哈工大的张工,https://i2.hdslb.com/bfs/face/6590e97ed834206e707acd39b697b8c66b5bfc12.jpg,用爱发电，都是免费分享，点个关注再走吧，专注认知提升，研究赚钱之道。,男,5,False,,0,4017,225,164
3494351560771886,九天军科,https://i2.hdslb.com/bfs/face/38e95dba210507efafbb8dff35a0597d628809d5.jpg,"
【硬核武器解析前沿科技揭秘】
《战力对比x设计奥秘x军武知识》
  感谢关注",保密,5,False,,2,42918,12,106
690548231,净发大财,https://i2.hdslb.com/bfs/face/b30ee92d6c794efa9fce61e475a4e83e7a9841a7.jpg,研究赚钱ing 内容小白友好 放心食用(¬◡¬)✧,保密,4,False,,2,16081,33,7
309984342,公园前净水器,https://i0.hdslb.com/bfs/face/a66df90e571b5a55732ebc32199df5f42fa4da6b.jpg,"哈哈哈哈哈我真的是业余的，纯业余
因为我真的不是专业的，所以我不专业
坐好坐好坐好",男,6,False,,2,13429,522,203
3546564071000066,游小浪Gong,https://i2.hdslb.com/bfs/face/866ee4c38c3096aacddebe43adf8e4fbecf1ada1.jpg,,男,4,False,,0,37638,1,88
2113388721,数显纯牛奶,https://i0.hdslb.com/bfs/face/48009a3ee434620fa04d0d94be0ce05d36070a27.jpg,关注一下，开源电赛源码，麻烦各位兄弟给我Git点一下star谢谢！,保密,5,False,,1,2101,43,4
448604662,跑道07可以落地,https://i1.hdslb.com/bfs/face/0ba7f35026cd38a7af30aebc9bf70e6c7d6ebab3.jpg,"上局杭段hcm一枚～
铁路/航空/足球
不定时更新",男,6,False,,2,1798,311,136
3546559813782141,挖机不二,https://i0.hdslb.com/bfs/face/c113c4b8a735d30f680104e6c8803b47fb4a781d.jpg,持续更新挖机工程机械内容,保密,3,False,,0,686,0,1011
3691011953920048,林海失控进化,https://i1.hdslb.com/bfs/face/86eaacf6b5e2a305076898973301cdaf33f8c74c.jpg,谢谢关注,保密,2,False,,1,734,3,11
108376952,利刃防务,https://i2.hdslb.com/bfs/face/e5b846c0ba2dc1b3f36d5a3c70d5a6b271667730.jpg,军迷自留地，唠装备、扯名场面，硬核与搞笑双在线✨,保密,5,False,,2,1994,26,46
3546650226198595,军事解析,https://i1.hdslb.com/bfs/face/58622fada69a61dd6ee85e1d0c097f3df4c87213.jpg,,男,4,False,,0,12520,1,226
3546597747067686,老胡说世界,https://i0.hdslb.com/bfs/face/41fb0f0f2a44eff1d56c9158dc89fa5b059f2f16.jpg,"分享影响世界的装备和科技
科普期刊作者 | 西工大校友
合作：laohushuoshijie01",保密,6,False,,2,98700,26,235
5023251,水如月的贝当,https://i0.hdslb.com/bfs/face/8b553e50e8261e340cb15a74b407a29115c8db7e.jpg,兴趣使然,男,6,False,,1,2865,875,374
2015147240,Ts造物-,https://i2.hdslb.com/bfs/face/2811f3c1a9d2729bc23385bcb7b3f62648ca068e.jpg,小店玩具均为3D打印产品，避免不了瑕疵与层纹，介意者勿拍！！！所有产品为PLA（可降解环保型）耗材打印，有打印机的小伙伴可以找我要图纸哦！！,男,5,False,,0,15852,3,160
499719078,枪械研究所_GunLab,https://i0.hdslb.com/bfs/face/e095f7cdc8ed39a4b48c4827a1120780234bfcdf.jpg,专注【枪械开箱，实弹测评，原理解构，战场实录】关注我，助你成为枪械大师，亦可欣赏硬核之美！,男,6,False,,2,51796,112,80
183769351,拳头哥电子工程师,https://i1.hdslb.com/bfs/face/87c5e1b70f9d8394b0ad955bd04e462b92d543a9.jpg,一切皆有可能,男,5,False,,1,5278,434,610
1634153506,福建辣椒水,https://i1.hdslb.com/bfs/face/250e14743fbf5f498c6664579e301e665e1f2039.jpg,这看看那看看,保密,2,False,,0,52,68,16
225137757,冬阑,http://i0.hdslb.com/bfs/face/b1ba6e0b8e06beb58f252c003641f61639fd60ee.jpg,是金子总会反光的,保密,6,False,,1,1789,188,8
802255,桜色月華,https://i1.hdslb.com/bfs/face/42262497a9ca8e3d7654e1e6891e4e04382f85b4.jpg,"对不良诱惑说不
够
只爱影，只发影，尽量日更
无广告，无充电，只希望影的热度高一些～
",女,6,False,,1,51561,166,99
308232011,火箭派工坊,https://i2.hdslb.com/bfs/face/bd2eff2f7a813ff3daaf9b44c427b91288f655a5.jpg,交流群：1071479995,保密,5,False,,2,915,489,31
471286488,李大郎6x66,https://i0.hdslb.com/bfs/face/f5091f9f6a43c392d742f40dd90629b17b5a3867.jpg,喜欢电子嵌入式编程AIGC机械手工音响摄影3D建模打印弹钢琴等等,男,6,False,,0,16839,195,237
255141831,笑熊杂货铺,https://i0.hdslb.com/bfs/face/0ae3beee2f89ea9e660edabe9e59f308cf43ad7f.jpg,人生没有垂直领域，让你猜不到我下一条发什么我是尽力了,男,5,False,,1,1641,62,729
440137526,哈工程创梦之翼战队,https://i2.hdslb.com/bfs/face/de877ecd6d64592be818caa9e464cb4a37c3126d.jpg,哈尔滨工程大学RoboMaster战队 创造卓越至美，翼舞机甲神威,保密,5,False,,1,5569,319,112
102257667,虾老板-XMFPV,https://i0.hdslb.com/bfs/face/c13343870f6e3319cc3b68e88e5348eb5cebc784.jpg,"白天调KPI，晚上调PID
知名FPV整活家 无用产品发明家 炸机艺术家 ",男,6,False,,2,23923,1044,301
321273061,正合时宜,https://i1.hdslb.com/bfs/face/fab8a15a3e89a811dd869f05d8cb6250e6ea250f.jpg,英伟达 Robotics，CMU PhD，宾大CS本科，zhengyiluo.com,保密,3,False,,0,3617,3,5
