bvid,has_stat_snapshot,has_comment_snapshot
BV1qBDpBpE4g,True,True
BV1qBDpBpEQr,True,True
BV1qBDpBpEd6,True,True
BV1qBDpBpEeE,True,True
BV1qBQbB6EbR,True,True
BV1qBSUBsEFq,True,True
BV1qBXdBJE7W,True,True
BV1qCA5zcEbx,True,True
BV1qCDwBbEQA,True,True
BV1qCQMB2EUA,True,True
BV1qCSDBfEAe,True,True
BV1qCXqBAE65,True,True
BV1qCXqBAEZB,True,True
BV1qD9PBVEAy,True,True
BV1qD9PBVEk1,True,True
BV1qDQABiEJV,True,True
BV1qDQcBZEFJ,True,True
BV1qDQcBZEYR,True,True
BV1qDQcBZEut,True,True
BV1qDSRB6Epn,True,True
BV1qDSoBEEBt,True,True
BV1qDSoBEEqM,True,True
BV1qDSoBEEqu,True,True
BV1qDXuB9EVG,True,True
BV1qEDGBxEM9,True,True
BV1qEDGBxEyk,True,True
BV1qEDyB1E2L,True,True
BV1qEXfBfECF,True,True
BV1qEXfBfEU3,True,True
BV1qEXfBfEk1,True,True
BV1qEXfBfEmi,True,True
BV1qFDwBZEAm,True,True
BV1qFSDBFER4,True,True
BV1qFX2BWEWo,True,True
BV1qFX5BPE96,True,True
BV1qFX5BPEHC,True,True
BV1qFX5BPEWc,True,True
BV1qFXUBwEXc,True,True
BV1qFXUBwEkX,True,True
BV1qFXUBwEvF,True,True
BV1qFXUBwEvX,True,True
BV1qHXBBTERe,True,True
BV1qHXPBuEJh,True,True
BV1qHXPBuEpm,True,True
BV1qHXfBoEai,True,True
BV1qJAFznEqS,True,True
BV1qJDWBsEC1,True,True
BV1qJSSB4E1f,True,True
BV1qJXPB6EYU,True,True
BV1qJXoBnEMA,True,True
BV1qKDKBgErz,True,True
BV1qKDLBwETj,True,True
BV1qKX8BLEQy,True,True
BV1qKX8BLESy,True,True
BV1qKXNBuEHP,True,True
BV1qKXXBCEZx,True,True
BV1qLDyBmExY,True,True
BV1qMD4B8E7J,True,True
BV1qMD4B8Et1,True,True
BV1qMDSBZEaz,True,True
BV1qMDSBZEq9,True,True
BV1qN9sBeEXN,True,True
BV1qNQgBnEUH,True,True
BV1qNQgBnEyZ,True,True
BV1qNXDBiE5r,True,True
BV1qNXDBiEN8,True,True
BV1qNXDBiEVb,True,True
BV1qNXTBmEb8,True,True
BV1qNXjBBE88,True,True
BV1qNXjBBELM,True,True
BV1qNXjBBEUK,True,True
BV1qNXjBBEcx,True,True
BV1qPXDBTE5w,True,True
BV1qPXDBTEHa,True,True
BV1qPXUBbEFj,True,True
BV1qPXUBbEPM,True,True
BV1qPXjBuE32,True,True
BV1qPXjBuE3N,True,True
BV1qPXjBuEGF,True,True
BV1qPXjBuEQy,True,True
BV1qPXjBuEdL,True,True
BV1qPXjBuEk5,True,True
BV1qQ9LB3E9v,True,True
BV1qQ9LB3EHq,True,True
BV1qQDQBTEk8,True,True
BV1qQXrBVE4d,True,True
BV1qQXrBVEJW,True,True
BV1qQXrBVEPT,True,True
BV1qQXrBVEbR,True,True
BV1qQXrBVEhZ,True,True
BV1qRDhBCEKK,True,True
BV1qRQxBAEpR,True,True
BV1qRSoB1ECF,True,True
BV1qRX1BoEDG,True,True
BV1qSD7B6EsC,True,True
BV1qSQcBbEav,True,True
BV1qSQvB4Ejx,True,True
BV1qSQvB4ErB,True,True
BV1qSXTB2E62,True,True
BV1qSXTB2E6H,True,True
