bvid,has_stat_snapshot,has_comment_snapshot
BV1xRXhBhEku,True,True
BV1xTXKB4EER,True,True
BV1xTXKB4EaF,True,True
BV1xUQFB3EjB,True,True
BV1xUX6B4E6d,True,True
BV1xX95BQEx8,True,True
BV1xgQeBNEnD,True,True
BV1xgXKBsEaH,True,True
BV1xjQPBUEoi,True,True
BV1xo6FB1E2K,True,True
BV1xo6FB1ES5,True,True
BV1xpX2BBEhV,True,True
BV1xv9KBwE2h,True,True
BV1xvA8zQEKe,True,True
BV1y7DEBnEcj,True,True
BV1y8XDBJEZB,True,True
BV1y8XDBJEkY,True,True
BV1y8XNBQE1C,True,True
BV1y8XUBrE3b,True,True
BV1yCXsByERc,True,True
BV1yDXbBxEo2,True,True
BV1yQXbBREQg,True,True
BV1ySXLBUEgu,True,True
BV1yWX5BmEXW,True,True
BV1yfDrBDE4A,True,True
BV1yfDrBDE74,True,True
BV1yfDrBDELy,True,True
BV1yfDrBDEVu,True,True
BV1yfDrBQEj4,True,True
BV1yfDrBQEvG,True,True
BV1ygSQB3E16,True,True
BV1ygXLBjEJ8,True,True
BV1ygXLBjEwg,True,True
BV1ymXmBgErd,True,True
BV1yoQmBgEBT,True,True
BV1yoQmBgEYV,True,True
BV1yoQmBgEq8,True,True
BV1z3XoBdEwH,True,True
BV1z49NBmE4x,True,True
BV1zAX8B7Ebo,True,True
BV1zDX3BaELx,True,True
BV1zHXPBuEFP,True,True
BV1zJXPB6E7K,True,True
BV1zXX3BcEFa,True,True
BV1zbQsBcERw,True,True
BV1zfXSB6EQc,True,True
BV1zjXfBcEfx,True,True
BV1znXKBmEpK,True,True
BV1zpXbByEAK,True,True
BV1zpXbByEwk,True,True
BV1zsXMBXEEo,True,True
BV1zvDpBsEPE,True,True
BV1zzXNB1E7B,True,True
