bvid,has_stat_snapshot,has_comment_snapshot
BV1CiXDBLEui,True,True
BV1CkQ5BrEVM,True,True
BV1CmXmBgEzf,True,True
BV1CnQ4B5ERF,True,True
BV1CnQsBiEpn,True,True
BV1CnQwBMEV3,True,True
BV1CoQ3BeE6K,True,True
BV1CqQGBTEPU,True,True
BV1CqXTBREVp,True,True
BV1CsQbBJE1E,True,True
BV1CtQbB7E1j,True,True
BV1CtQbB7Ey2,True,True
BV1CvQGBBEqD,True,True
BV1CyXVB5E1P,True,True
BV1CzQvBPEZs,True,True
BV1CzQvBPEzC,True,True
BV1D4Q5BQEt7,True,True
BV1D5XUBQEx2,True,True
BV1D5XUBQExn,True,True
BV1D7DfBkERP,True,True
BV1DCQ3BVEgX,True,True
BV1DEQgBrE16,True,True
BV1DGQbBtEWr,True,True
BV1DHQGB7E8J,True,True
BV1DKQ4B9EUT,True,True
BV1DMQLB9EpE,True,True
BV1DPDDBJEu2,True,True
BV1DQQ7BwEUd,True,True
BV1DWQcBjEbm,True,True
BV1DaXmBnEqz,True,True
BV1DcQeB3EV4,True,True
BV1Dm9NBPETK,True,True
BV1DnQgBgEWF,True,True
BV1DnQgBgEs1,True,True
BV1DqQuBzEk3,True,True
BV1E3QjBrEQB,True,True
BV1E5QjBzEfN,True,True
BV1EADSBwETY,True,True
BV1ECQgBsEBs,True,True
BV1ECQgBsEFh,True,True
BV1ECXjBkEP3,True,True
BV1EEDvBREZH,True,True
BV1EKDKB3EbE,True,True
BV1EKQvBoEnj,True,True
BV1EMDQBiE7m,True,True
BV1EMDQBiEQD,True,True
BV1ENQvBtE9i,True,True
BV1ERQjB3Eip,True,True
BV1ESQvBtEqr,True,True
BV1EXQjBkEQa,True,True
BV1EdQjB6Epi,True,True
BV1EhXyBsEsS,True,True
BV1EjDdB2E27,True,True
BV1EmQ5BMEdD,True,True
BV1EmQ5BMEdK,True,True
BV1EoQEBmEty,True,True
BV1EqQMBDEF2,True,True
BV1ErQgBdEzH,True,True
BV1EtQiBhEam,True,True
BV1EvQLBKE3h,True,True
BV1EyQGBaEdK,True,True
BV1EzQMBJEUP,True,True
BV1EzXUBvEjc,True,True
BV1F3QjBrEY2,True,True
BV1FFQgBRE4z,True,True
BV1FLQEB2EH6,True,True
BV1FLQuBRE19,True,True
BV1FSDJBEEXq,True,True
BV1FT9LBGEVy,True,True
BV1FVQjBgEGE,True,True
BV1FYXWBYES2,True,True
BV1FcQvBcESV,True,True
BV1FfQuBxECi,True,True
BV1FhQ7B2EfZ,True,True
BV1FkQvBAERh,True,True
BV1FnQ3BFEre,True,True
BV1FoQ8B7EAd,True,True
BV1FoQuBoE6A,True,True
BV1FoXPBLEhc,True,True
BV1FpDzBBEwh,True,True
BV1FrDLBME9T,True,True
BV1FuDhBLEy2,True,True
BV1FwQGBwESV,True,True
BV1FyDSBPEiK,True,True
BV1G4QtBFEVo,True,True
BV1G5QJBKEcr,True,True
BV1G6Q3BjEVw,True,True
BV1G8QEBTESh,True,True
BV1G8XLBYEDJ,True,True
BV1G9QgBmEzc,True,True
BV1GEQGBnEAJ,True,True
BV1GKQ4BREAo,True,True
BV1GLQhBNENi,True,True
BV1GMQ7BaEBt,True,True
BV1GNQ7BeEUg,True,True
BV1GRXUBsEha,True,True
BV1GSXZBSE4Q,True,True
BV1GUQ7BNEYw,True,True
BV1GUXGBXEHW,True,True
BV1GXX5BZExF,True,True
