bvid,has_stat_snapshot,has_comment_snapshot
BV112QEBsENG,True,True
BV112QuBYEyz,True,True
BV113QeBeEAe,True,True
BV114QhBdEvi,True,True
BV117Q4BjEEK,True,True
BV11ADyBdEA5,True,True
BV11CQEB4ESU,True,True
BV11DQ3BBEca,True,True
BV11DXbBxENF,True,True
BV11EDXBmEwU,True,True
BV11EQ4B1ENQ,True,True
BV11FQtBmEuV,True,True
BV11HQ7BXEXn,True,True
BV11KQaBFE3B,True,True
BV11NQEBpEHw,True,True
BV11PQ8BXE5T,True,True
BV11PXPBDEgb,True,True
BV11QDzBmExG,True,True
BV11SQuBhETp,True,True
BV11UQuBwE4U,True,True
BV11VDjBLEto,True,True
BV11XDDB2Eyc,True,True
BV11bQhBsEgw,True,True
BV11bXNBpEhM,True,True
BV11eQGBuEdy,True,True
BV11hQgBYEKr,True,True
BV11kQjBJEsG,True,True
BV11m9cBmEaw,True,True
BV11nDCBxE8X,True,True
BV11nQ4B5Ewq,True,True
BV11oDXBQE8e,True,True
BV11pQbBDEhj,True,True
BV11pSDBVEUA,True,True
BV11tQgBvEUD,True,True
BV11vQ5BjEfg,True,True
BV11vQGBBEgf,True,True
BV1239NBZEN3,True,True
BV127Q4BjEYF,True,True
BV128QvBgES4,True,True
BV128QvBgEog,True,True
BV12GQ4BSEDz,True,True
BV12WQMB8Eta,True,True
BV12WXjBxEm9,True,True
BV12YQvBME5z,True,True
BV12e9LBXELR,True,True
BV12eQvBBE7X,True,True
BV12fQ4BEEKo,True,True
BV12kDyBFEiu,True,True
BV12pDsB3E2x,True,True
BV12qQjBXEox,True,True
BV12wQEBsEV3,True,True
BV12yDAB2EVb,True,True
BV133Q7B8Ejs,True,True
BV135QJBKE5E,True,True
BV135XjBYEUe,True,True
BV13AQiBUENW,True,True
BV13DXGBHEy6,True,True
BV13LQJBvEc2,True,True
BV13NQLBdEAs,True,True
BV13RX5B4E1W,True,True
BV13VQhBiEPo,True,True
BV13WDQBxEa8,True,True
BV13WQ5BREMB,True,True
BV13eQuBkE2Z,True,True
BV13fQgB5Eo2,True,True
BV13hQtB4E7K,True,True
BV13mXGBWEX8,True,True
BV13oQgB1ETZ,True,True
BV13qQuB6EsM,True,True
BV13tX1BjEtc,True,True
BV13zXMBVEor,True,True
BV141XbBfEb7,True,True
BV141XbBfEmf,True,True
BV142QuBeEMf,True,True
BV145DCB8Ez6,True,True
BV145QKBZEmj,True,True
BV147Q7BxEcw,True,True
BV14CQEB4EWS,True,True
BV14HX2BuEu8,True,True
BV14HXjBoEoX,True,True
BV14QDDB7EG1,True,True
BV14TXKB4E4P,True,True
BV14TXKB4ETL,True,True
BV14UQpBzE7Q,True,True
BV14UXKBbEn3,True,True
BV14WQgBMExj,True,True
BV14XQsByEcn,True,True
BV14XQwBjEHM,True,True
BV14ZDRBfETD,True,True
BV14bQGBkE46,True,True
BV14bQGBkEQM,True,True
BV14cDWBqEKc,True,True
BV14dQ4BnELd,True,True
BV14pXUBjEWW,True,True
BV14qD9BsEf5,True,True
BV14qQjBXEDu,True,True
BV14sQgBqEUv,True,True
BV14vQ5BjEx2,True,True
BV14xQhBtEcW,True,True
BV14zQjBHEE4,True,True
BV154XVBoEuz,True,True
BV155QvBHE9g,True,True
BV155QvBHE9q,True,True
BV158DvB7EgY,True,True
BV158QuBLEnn,True,True
BV158QuBLEuT,True,True
BV159QgBUEE8,True,True
BV15BDzBtEMe,True,True
BV15BXyBSEio,True,True
BV15DQgBSEjF,True,True
BV15ED9BBEqB,True,True
BV15FQLBFEkD,True,True
BV15KD1BCEUc,True,True
BV15KQJBrETM,True,True
BV15MQJBgE9J,True,True
BV15NQ7BeEAr,True,True
BV15NQJBGEjc,True,True
BV15PQ7BNE7F,True,True
BV15SXjBBExa,True,True
BV15XQgBEE6A,True,True
BV15XQgBJEmU,True,True
BV15YXMB7E2Y,True,True
BV15cQLBbEgh,True,True
BV15cX2B9E9y,True,True
BV15iDDBbEKx,True,True
BV15mXUBFEsu,True,True
BV15qQiBsEKH,True,True
BV15qQiBsEtn,True,True
BV15uQJBzEME,True,True
BV15wQ7BiE5i,True,True
