bvid,has_stat_snapshot,has_comment_snapshot
BV1x1DZBvEMD,True,True
BV1x8DKB9EC7,True,True
BV1x8XjBpEsq,True,True
BV1xDXbBxEKm,True,True
BV1xNDxBkEXt,True,True
BV1xNXKBZE6x,True,True
BV1xTXKB4EaF,True,True
BV1xUX6B4E6d,True,True
BV1xjQPBUEoi,True,True
BV1y8XDBJEZB,True,True
BV1y8XDBJEkY,True,True
BV1y8XUBrE3b,True,True
BV1yDXbBxEo2,True,True
BV1yQXbBREQg,True,True
BV1yWX5BmEXW,True,True
BV1ygXLBjEJ8,True,True
BV1ygXLBjEwg,True,True
BV1ymXmBgErd,True,True
BV1zAX8B7Ebo,True,True
BV1zHXPBuEFP,True,True
BV1zJXPB6E7K,True,True
BV1zbQsBcERw,True,True
BV1zfXSB6EQc,True,True
BV1znXKBmEpK,True,True
BV1zsXMBXEEo,True,True
BV1zzXNB1E7B,True,True
