bvid,board_rid,board_name,board_rank,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs,source_csv_path,source_group,_source_priority
BV15TDeB5Ex2,,,,author_expand,owner:3546877037381978,2026-04-07T11:04:07.010175+00:00,2026-04-07T11:04:07.010175+00:00,3546877037381978,21,2026-04-07T04:38:18+00:00,117,218.0,owner:3546877037381978,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV19TDeBVEXB,,,,author_expand,owner:3546877037381978,2026-04-07T11:04:07.010175+00:00,2026-04-07T11:04:07.010175+00:00,3546877037381978,21,2026-04-07T04:38:08+00:00,109,296.0,owner:3546877037381978,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1dwDeB2ESo,,,,author_expand,owner:3546877037381978,2026-04-07T11:04:07.010175+00:00,2026-04-07T11:04:07.010175+00:00,3546877037381978,21,2026-04-07T04:37:31+00:00,122,952.0,owner:3546877037381978,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1RPDeBLEoX,1005.0,动画,57.0,rankboard,rankboard:rid=1005:rank=57,2026-04-10T14:49:05.378959+00:00,,15466785,17,2026-04-07T04:33:55+00:00,185,1005695.0,"rankboard:rid=1005:rank=57,https://www.bilibili.com/v/popular/rank/douga",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1006
BV1RPDeBLEew,1020.0,美食,56.0,rankboard,rankboard:rid=1020:rank=56,2026-04-10T14:49:25.341469+00:00,,3247430,215,2026-04-07T04:33:24+00:00,136,369866.0,"rankboard:rid=1020:rank=56,https://www.bilibili.com/v/popular/rank/food",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1006
BV1vPDeBLEPt,,,,author_expand,owner:1905206817,2026-04-07T10:48:43.551523+00:00,2026-04-07T10:48:43.551523+00:00,1905206817,205,2026-04-07T04:30:58+00:00,14,394.0,owner:1905206817,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1kKDhB7Egz,,,,author_expand,owner:106086780,2026-04-07T10:39:13.014721+00:00,2026-04-07T10:39:13.014721+00:00,106086780,207,2026-04-07T04:30:00+00:00,84,1075.0,owner:106086780,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1C2DYBoE1w,,,,hot,hot:pn=4:ps=20,2026-04-08T13:12:26.158810+00:00,2026-04-08T13:12:26.158810+00:00,9996682,162,2026-04-07T04:29:35+00:00,125,276394.0,hot:pn=4:ps=20,full_site_floorings/daily_hot-20260408_211226.csv,full_site_floorings,1011
BV1C2DYBoEGd,,,,author_expand,owner:4351252,2026-04-07T10:54:16.777794+00:00,2026-04-07T10:54:16.777794+00:00,4351252,205,2026-04-07T04:25:45+00:00,21,47.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1AUDYB4EDa,,,,author_expand,owner:46470268,2026-04-07T09:45:40.780628+00:00,2026-04-07T09:45:40.780628+00:00,46470268,232,2026-04-07T04:23:54+00:00,253,21198.0,owner:46470268,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1NyDYBFEK9,0.0,全站,93.0,rankboard,rankboard:rid=0:rank=93,2026-04-09T13:14:27.910502+00:00,,31009079,172,2026-04-07T04:23:51+00:00,1605,1196234.0,"rankboard:rid=0:rank=93,https://www.bilibili.com/v/popular/rank/all",full_site_floorings/rankboard-20260409_211427.csv,full_site_floorings,1008
BV1kUDYBxEDm,1013.0,汽车,59.0,rankboard,rankboard:rid=1013:rank=59,2026-04-09T13:14:52.554355+00:00,,241822588,176,2026-04-07T04:22:39+00:00,207,93742.0,"rankboard:rid=1013:rank=59,https://www.bilibili.com/v/popular/rank/car",full_site_floorings/rankboard-20260409_211427.csv,full_site_floorings,1008
BV1wUDYB4EfP,,,,author_expand,owner:4351252,2026-04-07T10:54:16.777794+00:00,2026-04-07T10:54:16.777794+00:00,4351252,205,2026-04-07T04:21:32+00:00,51,85.0,owner:4351252,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV11CDYBfEp1,,,,author_expand,owner:522653994,2026-04-07T10:12:59.217173+00:00,2026-04-07T10:12:59.217173+00:00,522653994,205,2026-04-07T04:19:45+00:00,40,3526.0,owner:522653994,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1zXDYBXEo9,1014.0,时尚美妆,92.0,rankboard,rankboard:rid=1014:rank=92,2026-04-09T13:14:55.269049+00:00,,1509965037,17,2026-04-07T04:16:17+00:00,2196,40853.0,"rankboard:rid=1014:rank=92,https://www.bilibili.com/v/popular/rank/fashion",full_site_floorings/rankboard-20260409_211427.csv,full_site_floorings,1008
BV1N1DYBbEud,,,,author_expand,owner:1201924292,2026-04-07T10:52:53.626305+00:00,2026-04-07T10:52:53.626305+00:00,1201924292,17,2026-04-07T04:15:51+00:00,3587,3982.0,owner:1201924292,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1C1DYBtEPT,,,,hot,hot:pn=18:ps=20,2026-04-11T11:55:15.557649+00:00,2026-04-11T11:55:15.557649+00:00,3493108603947907,65,2026-04-07T04:14:50+00:00,121,1279305.0,hot:pn=18:ps=20,full_site_floorings/daily_hot-20260411_195515.csv,full_site_floorings,1005
BV1zXDYBXE91,,,,author_expand,owner:3461572842228424,2026-04-07T09:55:12.514391+00:00,2026-04-07T09:55:12.514391+00:00,3461572842228424,138,2026-04-07T04:13:41+00:00,119,85478.0,owner:3461572842228424,uid_expansions/uid_expansion_20260325_20260407_171837/videolist_part_1.csv,uid_expansions,0
BV1C1DYBtEaq,1005.0,动画,26.0,rankboard,rankboard:rid=1005:rank=26,2026-04-10T14:49:05.378959+00:00,,3546637278382807,47,2026-04-07T04:12:16+00:00,245,322637.0,"rankboard:rid=1005:rank=26,https://www.bilibili.com/v/popular/rank/douga",full_site_floorings/rankboard-20260410_224902.csv,full_site_floorings,1006
