owner_mid,owner_name,owner_face,owner_sign,owner_gender,owner_level,owner_verified,owner_verified_title,owner_vip_type,owner_follower_count,owner_following_count,owner_video_count,refinement_follower_bin,refinement_keep
14229967,一数,https://i1.hdslb.com/bfs/face/812281bada7d323c23c6e1e2e92749bd29b7d7c6.jpg,高中各科优质免费资源，尽在“一系列”！公众号「一数儿」，优秀老师想加入一系列可加VX：bilibiliyishu（请备注）,保密,6,TRUE,2025百大UP主、2025年度弹幕人气奖UP主、2025年度商业影响力奖UP主,2,23544040,13,817,,
401742377,原神,https://i2.hdslb.com/bfs/face/853c4a846793dfbdafd8f16a40d6d8065bdb7c6f.jpg,原神官方账号,保密,6,TRUE,原神官方账号,2,20492017,60,680,,
546195,老番茄,http://i0.hdslb.com/bfs/face/bc5ca101313d4db223c395d64779e76eb3482d60.jpg,新浪微博：_老番茄_,保密,6,TRUE,2025百大UP主、2025年度商业影响力奖UP主、2022年度联合创作奖UP主,2,20164298,5,650,,
50329118,哔哩哔哩英雄联盟赛事,https://i2.hdslb.com/bfs/face/544c89e68f2b1f12ffcbb8b3c062a3328e8692d9.jpg,哔哩哔哩英雄联盟赛事官方账号，直播LPL、MSI季中赛、全明星等大型赛事。,保密,6,TRUE,哔哩哔哩英雄联盟赛事直播官方账号,2,16749386,109,7232,,
946974,影视飓风,https://i0.hdslb.com/bfs/face/c1733474892caa45952b2c09a89323157df7129a.jpg,无限进步！｜商务合作请联系邮箱：bd@ysjf.com（邮件中麻烦备注公司、咨询内容）｜店铺名：影视飓风,男,6,TRUE,2025百大UP主、2023年度最高人气奖UP主、课堂优质讲师,2,15663270,672,886,,
927587,木鱼水心,https://i2.hdslb.com/bfs/face/e922d9dc09a2d21f1400ad0f02f75ecf1b3575c8.jpg,遥望理想，勇敢生存 | 商务合作：bd@ark-tv.com (请备注公司姓名及合作项目）公众号：木鱼水心,男,6,TRUE,2025百大UP主、2024百大UP主、知名UP主,2,14546800,104,1328,,
163637592,老师好我叫何同学,https://i0.hdslb.com/bfs/face/492d0bb71749332040f9d812954fa0b52e66c490.jpg,目标是做有意思的视频｜合作请联系xhaxx1123@163.com｜粉丝想做htxcontact@163.com 请留下vx或者手机号,保密,6,TRUE,2025百大UP主、2025年度最佳作品奖UP主、2020年度最佳作品奖UP主,2,12690185,341,91,,
1340190821,崩坏星穹铁道,https://i2.hdslb.com/bfs/face/c27e19b8861be105b9d80b6743756c35027ae736.jpg,愿此行，终抵群星。 ,保密,6,TRUE,崩坏：星穹铁道官方账号,2,11935213,19,289,,
20165629,共青团中央,https://i1.hdslb.com/bfs/face/05725218e6cd8d0916da4f27ab56ca0957545c48.jpg,你好呀！这里皮皮团，等你很久啦！,保密,6,TRUE,共青团中央 官方账号,2,11866418,125,5513,,
562197,中国BOY超级大猩猩,https://i0.hdslb.com/bfs/face/ffb50dd4e712386eb888030ebc6f4aea3a65cd8e.jpg,新浪 @中国BOY-Hans,男,6,TRUE,2023百大UP主、知名UP主,2,10669295,201,1848,,
