board_rid,board_name,board_rank,bvid,source_type,source_ref,discovered_at,last_seen_at,owner_mid,tid,pubdate,duration_seconds,seed_score,source_refs
,,,BV1LpDHByET6,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,417038183,138,2026-04-09T03:00:00+00:00,391,4954418.0,hot:pn=1:ps=20
,,,BV1KwQuBeE8G,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,1577804,21,2026-04-11T05:36:47+00:00,3846,6832362.0,hot:pn=1:ps=20
,,,BV1WwD9BJEMX,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,777536,182,2026-04-12T12:57:58+00:00,510,2006180.0,hot:pn=1:ps=20
,,,BV1BzQhBmEss,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,30898527,27,2026-04-14T03:00:00+00:00,87,428363.0,hot:pn=1:ps=20
,,,BV14fQ4BEEWd,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,3546788160079885,17,2026-04-13T09:35:00+00:00,1181,1023585.0,hot:pn=1:ps=20
,,,BV1dYQsBtEAu,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,436368347,86,2026-04-13T05:01:22+00:00,261,952308.0,hot:pn=1:ps=20
,,,BV13aQ8BeENt,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,25150941,176,2026-04-14T03:00:00+00:00,1360,377365.0,hot:pn=1:ps=20
,,,BV1rtDRBJE7s,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,3546749647980910,242,2026-04-12T19:19:53+00:00,542,1781213.0,hot:pn=1:ps=20
,,,BV1RLQvBSEY2,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,407054668,201,2026-04-14T09:00:00+00:00,893,236048.0,hot:pn=1:ps=20
,,,BV1zmQvBZEKP,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,3546731908171869,21,2026-04-14T07:24:54+00:00,53,266024.0,hot:pn=1:ps=20
,,,BV1dfQtBTEJ3,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,438590907,182,2026-04-13T12:53:50+00:00,389,687188.0,hot:pn=1:ps=20
,,,BV1gjDmByEtP,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,528461028,250,2026-04-12T10:00:00+00:00,636,1259092.0,hot:pn=1:ps=20
,,,BV115DDBkEvD,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,946974,95,2026-04-12T03:00:00+00:00,951,3999886.0,hot:pn=1:ps=20
,,,BV1GDQbBYEai,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,343099760,159,2026-04-13T10:11:14+00:00,134,654341.0,hot:pn=1:ps=20
,,,BV1MMQwB7EXZ,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,99157282,212,2026-04-11T09:00:00+00:00,727,2943482.0,hot:pn=1:ps=20
,,,BV1EFQhBLED1,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,107251863,17,2026-04-13T16:19:50+00:00,555,289067.0,hot:pn=1:ps=20
,,,BV1FeD1BsEQq,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,355024318,173,2026-04-11T13:19:42+00:00,513,2538660.0,hot:pn=1:ps=20
,,,BV1wfDDBrETb,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,647201537,76,2026-04-12T09:42:15+00:00,228,1690210.0,hot:pn=1:ps=20
,,,BV13XQbBwESM,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,23957550,31,2026-04-13T10:22:35+00:00,178,223869.0,hot:pn=1:ps=20
,,,BV1jWDZBSEwx,hot,hot:pn=1:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,478691043,213,2026-04-11T08:50:00+00:00,904,1749885.0,hot:pn=1:ps=20
,,,BV1H7QFBaERe,hot,hot:pn=2:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,5970160,138,2026-04-10T09:00:00+00:00,2343,8177297.0,hot:pn=2:ps=20
,,,BV1G2DCBBEJP,hot,hot:pn=2:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,321422126,138,2026-04-11T08:56:04+00:00,106,418789.0,hot:pn=2:ps=20
,,,BV1bSDXB4Ee7,hot,hot:pn=2:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,157703013,241,2026-04-12T14:43:09+00:00,123,3619172.0,hot:pn=2:ps=20
,,,BV1m3Q4BnEeN,hot,hot:pn=2:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,10119428,182,2026-04-13T09:36:56+00:00,3238,1300595.0,hot:pn=2:ps=20
,,,BV1goQbBbEPS,hot,hot:pn=2:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,267599661,251,2026-04-13T11:01:47+00:00,1223,363757.0,hot:pn=2:ps=20
,,,BV1DuQbB8E1Y,hot,hot:pn=2:ps=20,2026-04-14T11:29:08.351089+00:00,2026-04-14T11:29:08.351089+00:00,1911085002,254,2026-04-13T13:30:26+00:00,694,177541.0,hot:pn=2:ps=20
